State1,BidenF,TrumpF,F_Spread,State,BidenA,TrumpA,A_Spread,BidenA1,TrumpA1,Population,Senator1,Pic1,StateR1,Party1,Class1,Address1,Phone1,Contact1,Senator2,StateR2,Party2,Class2,Address2,Phone2,Contact2
Alaska,43.51%,51.00%,-7.4907,AK,33.50%,62.10%,-28.6,0.335,0.621,"731,545",Lisa Murkowski (R) Class III,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Lisa_Murkowski_official_photo_%28cropped%29.jpg/95px,AK,R,Class III,522 Hart Senate Office Building Washington DC 20510,(202) 224-6665,Contact: www.murkowski.senate.gov/public/index.cfm/contact,Dan Sullivan (R) Class II,AK,R,Class II,302 Hart Senate Office Building Washington DC 20510,(202) 224-3004,Contact: www.sullivan.senate.gov/contact/email
Alabama,37.78%,57.36%,-19.5793,AL,36.40%,62.50%,-26.1,0.364,0.625,"4,903,185",RichardC. Shelby (R) Class III,,AL,R,Class III,304 Russell Senate Office Building Washington DC 20510,(202) 224-5744,Contact: www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,Tommy Tuberville (R) Class II,AL,R,Class II,B40A Dirksen Senate Office Building Washington DC 20510,(202) 224-4124,Contact: www.tuberville.senate.gov
Arkansas,36.21%,58.39%,-22.1838,AR,34.60%,62.60%,-28,0.346,0.626,"3,017,825",John Boozman (R) Class III,,AR,R,Class III,141 Hart Senate Office Building Washington DC 20510,(202) 224-4843,Contact: www.boozman.senate.gov/public/index.cfm/contact,Tom Cotton (R) Class II,AR,R,Class II,326 Russell Senate Office Building Washington DC 20510,(202) 224-2353,Contact: www.cotton.senate.gov/contact/contact-tom
Arizona,48.72%,46.11%,2.6116,AZ,49.50%,49.00%,0.5,0.495,0.49,"7,278,717",Mark Kelly (D) Class III,,AZ,D,Class III,B40B Dirksen Senate Office Building Washington DC 20510,(202)-224-2235,Contact: www.kelly.senate.gov,Kyrsten Sinema (D) Class I,AZ,D,Class I,317 Hart Senate Office Building Washington DC 20510,(202) 224-4521,Contact: www.sinema.senate.gov/contact-kyrsten
California,61.63%,32.29%,29.3439,CA,64.60%,33.40%,31.2,0.646,0.334,"39,512,223",Dianne Feinstein (D) Class I,,CA,D,Class I,331 Hart Senate Office Building Washington DC 20510,(202) 224-3841,Contact: www.feinstein.senate.gov/public/index.cfm/e-mail-me,Alex Padilla (D) Class III,CA,D,Class III,B03 Russell Senate Office Building Washington DC 20510,(202) 224-3553,Contact: www.padilla.senate.gov
Colorado,53.63%,41.00%,12.6246,CO,55.30%,42.10%,13.2,0.553,0.421,"5,758,736",MichaelF. Bennet (D) Class III,,CO,D,Class III,261 Russell Senate Office Building Washington DC 20510,(202) 224-5852,Contact: www.bennet.senate.gov/public/index.cfm/contact,JohnW. Hickenlooper (D) Class II,CO,D,Class II,B85 Russell Senate Office Building Washington DC 20510,(202) 224-5941,Contact: www.hickenlooper.senate.gov
Connecticut,58.39%,31.96%,26.4303,CT,58.10%,40.40%,17.7,0.581,0.404,"3,565,287",Richard Blumenthal (D) Class III,,CT,D,Class III,706 Hart Senate Office Building Washington DC 20510,(202) 224-2823,Contact: www.blumenthal.senate.gov/contact/,Christopher Murphy (D) Class I,CT,D,Class I,136 Hart Senate Office Building Washington DC 20510,(202) 224-4041,Contact: www.murphy.senate.gov/contact
District of Columbia,90.74%,5.64%,85.1019,DC,93.30%,5.20%,88.1,0.933,0.052,"705,749",NOREP (NO) NO,,DC,NO,NO,NO,NO,NO,NO (NO) NO,DC,NO,NO,NO,NO,NO
Delaware,58.70%,34.09%,24.6051,DE,58.80%,39.80%,19,0.588,0.398,"973,764",ThomasR. Carper (D) Class I,,DE,D,Class I,513 Hart Senate Office Building Washington DC 20510,(202) 224-2441,Contact: www.carper.senate.gov/public/index.cfm/email-senator-carper,ChristopherA. Coons (D) Class II,DE,D,Class II,218 Russell Senate Office Building Washington DC 20510,(202) 224-5042,Contact: www.coons.senate.gov/contact
Florida,49.09%,46.68%,2.4106,FL,47.90%,51.20%,-3.3,0.479,0.512,"21,477,737",Marco Rubio (R) Class III,,FL,R,Class III,284 Russell Senate Office Building Washington DC 20510,(202) 224-3041,Contact: www.rubio.senate.gov/public/index.cfm/contact,Rick Scott (R) Class I,FL,R,Class I,716 Hart Senate Office Building Washington DC 20510,(202) 224-5274,Contact: www.rickscott.senate.gov/contact_rick
Georgia,48.57%,47.33%,1.2463,GA,49.50%,49.30%,0.2,0.495,0.493,"10,617,423",Jon Ossoff (D ) Class II,,GA,D ,Class II,825 B&C Hart Senate Office Building Washington DC 20510,(202) 224-3521,Contact: www.ossoff.senate.gov,RaphaelG. Warnock (D) Class III,GA,D,Class III,B40D Dirksen Senate Office Building Washington DC 20510,(202) 224-3643,Contact: www.warnock.senate.gov
Hawaii,64.28%,29.20%,35.0746,HI,63.70%,34.30%,29.4,0.637,0.343,"1,415,872",MazieK. Hirono (D ) Class I,,HI,D ,Class I,109 Hart Senate Office Building Washington DC 20510,(202) 224-6361,Contact: www.hirono.senate.gov/contact,Brian Schatz (D) Class III,HI,D,Class III,722 Hart Senate Office Building Washington DC 20510,(202) 224-3934,Contact: www.schatz.senate.gov/contact
